filename,category,mode,yolo_model,llm_model,configuration,description,detection_latency,ocr_latency,depth_latency,generation_latency,total_latency,num_objects_detected,objects_detected,ocr_text,ocr_num_texts,depth_mean,word_count,tokens_used,success,error,timestamp,approach_version,cache_hit,complexity,max_tokens_used
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.214588,3.5,False,,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.325096,3.5,False,,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.431538,3.5,False,,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.534965,3.5,False,,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.641450,3.5,False,,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.745285,3.5,False,,
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.855037,3.5,False,,
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:47.960053,3.5,False,,
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.064261,3.5,False,,
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.172163,3.5,False,,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.336334,3.5,False,,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.468012,3.5,False,,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.593271,3.5,False,,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:16:48.695221,3.5,False,,
